0.00,0.00
1.00,2.00
2.00,4.00
3.00,6.00
4.00,8.00
5.00,10.00
6.00,12.00
7.00,14.00
8.00,16.00
9.00,18.00
10.00,20.00
11.00,22.00
12.00,24.00
13.00,26.00
14.00,28.00
15.00,30.00
16.00,32.00
17.00,34.00
18.00,36.00
19.00,38.00
20.00,40.00
21.00,42.00
22.00,44.00
23.00,46.00
24.00,48.00
25.00,50.00
26.00,52.00
27.00,54.00
28.00,56.00
29.00,58.00
30.00,60.00
31.00,62.00
32.00,64.00
33.00,66.00
34.00,68.00
35.00,70.00
36.00,72.00
37.00,74.00
38.00,76.00
39.00,78.00
40.00,80.00
41.00,82.00
42.00,84.00
43.00,86.00
44.00,88.00
45.00,90.00
46.00,92.00
47.00,94.00
48.00,96.00
49.00,98.00
50.00,100.00
51.00,102.00
52.00,104.00
53.00,106.00
54.00,108.00
55.00,110.00
56.00,112.00
57.00,114.00
58.00,116.00
59.00,118.00
60.00,120.00
61.00,122.00
62.00,124.00
63.00,126.00
64.00,128.00
65.00,130.00
66.00,132.00
67.00,134.00
68.00,136.00
69.00,138.00
70.00,140.00
71.00,142.00
72.00,144.00
73.00,146.00
74.00,148.00
75.00,150.00
76.00,152.00
77.00,154.00
78.00,156.00
79.00,158.00
80.00,160.00
81.00,162.00
82.00,164.00
83.00,166.00
84.00,168.00
85.00,170.00
86.00,172.00
87.00,174.00
88.00,176.00
89.00,178.00
90.00,180.00
91.00,182.00
92.00,184.00
93.00,186.00
94.00,188.00
95.00,190.00
96.00,192.00
97.00,194.00
98.00,196.00
99.00,198.00
100.00,200.00
101.00,202.00
102.00,204.00
103.00,206.00
104.00,208.00
105.00,210.00
106.00,212.00
107.00,214.00
108.00,216.00
109.00,218.00
110.00,220.00
111.00,222.00
112.00,224.00
113.00,226.00
114.00,228.00
115.00,230.00
116.00,232.00
117.00,234.00
118.00,236.00
119.00,238.00
120.00,240.00
121.00,242.00
122.00,244.00
123.00,246.00
124.00,248.00
125.00,250.00
126.00,252.00
127.00,254.00
128.00,256.00
129.00,258.00
130.00,260.00
131.00,262.00
132.00,264.00
133.00,266.00
134.00,268.00
135.00,270.00
136.00,272.00
137.00,274.00
138.00,276.00
139.00,278.00
140.00,280.00
141.00,282.00
142.00,284.00
143.00,286.00
144.00,288.00
145.00,290.00
146.00,292.00
147.00,294.00
148.00,296.00
149.00,298.00
150.00,300.00
151.00,302.00
152.00,304.00
153.00,306.00
154.00,308.00
155.00,310.00
156.00,312.00
157.00,314.00
158.00,316.00
159.00,318.00
160.00,320.00
161.00,322.00
162.00,324.00
163.00,326.00
164.00,328.00
165.00,330.00
166.00,332.00
167.00,334.00
168.00,336.00
169.00,338.00
170.00,340.00
171.00,342.00
172.00,344.00
173.00,346.00
174.00,348.00
175.00,350.00
176.00,352.00
177.00,354.00
178.00,356.00
179.00,358.00
180.00,360.00
181.00,362.00
182.00,364.00
183.00,366.00
184.00,368.00
185.00,370.00
186.00,372.00
187.00,374.00
188.00,376.00
189.00,378.00
190.00,380.00
191.00,382.00
192.00,384.00
193.00,386.00
194.00,388.00
195.00,390.00
196.00,392.00
197.00,394.00
198.00,396.00
199.00,398.00
200.00,400.00
201.00,402.00
202.00,404.00
203.00,406.00
204.00,408.00
205.00,410.00
